지역,매장명,현황,주소,브랜드명
서울 송파구,가락시장역점,영업중,"서울특별시 송파구 중대로 130 가락동112-2, 원전빌딩 1층",할리스
경기 화성시,화성능동DT점,영업중,"경기 화성시 동탄지성로 215 1,2층 전체호(병점동)",할리스
인천 남동구,인천시청점,영업중,인천광역시 남동구 남동대로799번길 36 (구월동) 구월동 1139-2,할리스
경남 밀양시,밀양킹콩점,영업중,"경상남도 밀양시 삼문강변로 272 (삼문동) 2,3층",할리스
대구 북구,경북대북문점,영업중,대구광역시 북구 대학로 17길 3 (산격동 1393-11) 할리스 B1~3층,할리스
서울 강남구,코엑스점,영업중,"서울특별시 강남구 영동대로 513, 코엑스 지하 1층 C113호 (삼성동 159) 할리스",할리스
울산 중구,울산성남점,영업중,"울산광역시 중구 만남의거리 33, 1F 성남동 256-16",할리스
경기 양평군,양평점,영업중,경기도 양평군 양평읍 중앙로 90 1층,할리스
경기 김포시,김포시청점,영업중,"경기도 김포시 김포대로 847 중앙프라자 105,204호",할리스
경기 안산시 단원구,안산선부점,영업중,경기도 안산시 단원구 선부광장1로 56 (선부동) 할리스커피,할리스
경기 고양시 덕양구,화정역점,영업중,경기도 고양시 덕양구 화신로272번길 67 장군빌딩 1층,할리스
전북 군산시,군산새만금산단점,영업중,전라북도 군산시 새만금북로 424 (오식도동) 1층 104호,할리스
경기 남양주시,다산한강점,영업중,경기도 남양주시 다산지금로 163번길 9-12 1층,할리스
서울 마포구,상암DDMC점,영업중,"서울시 마포구 매봉산로 75, DDMC 1층 104호 상암동 1610",할리스
경기 고양시 덕양구,덕양구청점,영업중,"경기도 고양시 덕양구 화중로104번길 8 (화정동, 장원프라자) 1층 102호",할리스
충남 서천군,(하)서천휴게소점,영업중,충청남도 서천군 비인면 서해안고속도로 169 .,할리스
전북 전주시 덕진구,전주에코시티세병호점,영업중,전라북도 전주시 덕진구 세병로 176 (송천동2가) 1층~2층,할리스
경기 남양주시,다산리코빌파크뷰점,영업중,"경기도 남양주시 다산순환로 220 (다산동) 104 ~107호, 다산동 6020",할리스
서울 서대문구,서대문농협생명빌딩점,영업중,"서울시 서대문구 통일로 87 미근동 257, NH농협생명빌딩 동관 1층",할리스
충북 청주시 청원구,(하)오창휴게소점,영업중,충청북도 청주시 청원구 오창읍 중부고속도로 21 (오창휴게소통영기점) .,할리스
충북 청주시 흥덕구,(하)옥산휴게소점,영업중,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (옥산휴게소부산방향) 옥산휴게소(하행) 할리스커피,할리스
경기 김포시,김포지식산업센터점,영업중,"경기도 김포시 태장로 795번길 145, 아셈호텔 1층 장기동 2011-2",할리스
경기 군포시,군포IT밸리점,영업중,"경기도 군포시 고산로148번길 17 (당정동, 군포IT밸리) 1층",할리스
경남 진주시,진주혁신도시점,영업중,경상남도 진주시 에나로128번길 24 (충무공동) .,할리스
전남 광양시,광양중동점,영업중,전라남도 광양시 공영로 92-1 (중동) .,할리스
대구 달서구,대구이월드점,영업중,대구광역시 달서구 두류공원로 200 (두류동) .,할리스
대전 유성구,대전문지점,영업중,대전광역시 유성구 문지로299번길 94-19 (문지동) 1층,할리스
대구 수성구,대구범어천로점,영업중,"대구광역시 수성구 범어천로 200 (범어동, 범어월드메르디앙웨스턴카운티) 102호,201호",할리스
서울 강서구,마곡나인스퀘어점,영업중,"서울특별시 강서구 공항대로 206 (마곡동, 나인스퀘어) 마곡동 800, 101,102,103호",할리스
전북 전주시 덕진구,전주아중점,영업중,"전라북도 전주시 덕진구 아중로 193 (우아동2가) 1,2층",할리스
충북 청주시 상당구,청주명암레이크점,영업중,충북 청주시 상당구 용담동 449 .,할리스
인천 중구,인천공항T1점,영업중,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 L/S 1층",할리스
경기 이천시,이천하이닉스점,영업중,경기도 이천시 부발읍 경충대로 2091 연구개발동 1층,할리스
서울 강북구,수유사거리점,영업중,서울특별시 강북구 도봉로82길 11 (번동) 2~4층,할리스
서울 중구,명동퍼시픽호텔점,영업중,"서울특별시 중구 퇴계로20길 2 (남산동2가, 퍼시픽호텔) 1층",할리스
충남 천안시 서북구,천안펜타포트점,영업중,"충청남도 천안시 서북구 공원로 196 (불당동, 펜타포트) 5층",할리스
서울 송파구,아시아선수촌점,영업중,서울특별시 송파구 백제고분로 109 (잠실동) 1층~4층,할리스
서울 동작구,보라매병원점,영업중,서울시 동작구 보라매로5길 20 서울특별시보라매병원 희망관 1층,할리스
광주 광산구,광주수완2호점,영업중,"광주광역시 광산구 수완로 73번길 7, 1층 (수완동) 1층",할리스
경기 수원시 영통구,수원망포점,영업중,"경기도 수원시 영통구 덕영대로1556번길 16 디지털엠파이어빌딩 125,126,127,212호 (영통동)",할리스
세종 세종시,세종어반아트리움점,영업중,"세종특별자치시 나성로 96 (나성동, 더센트럴) 101,102호",할리스
서울 서대문구,무악재역점,영업중,"서울특별시 서대문구 통일로 360 (홍제동, 보하빌딩) .",할리스
대전 대덕구,대전한남대점,영업중,대전 대덕구 한남로 65 .,할리스
경기 이천시,(하)마장휴게소점,영업중,경기도 이천시 마장면중부고속도로82 마장휴게소 하행 통영방향,할리스
경기 오산시,오산수청점,영업중,"경기도 오산시 내삼미로79번길 46 (수청동 619-1) 101~104호 (수청동, 어반스페이스타워)",할리스
서울 마포구,공덕점,영업중,"서울특별시 마포구 마포대로 143 (공덕동, 마포공덕파크팰리스 Ⅱ) 1층 (114~121호)",할리스
충남 예산군,(상)예산휴게소점,영업중,충청남도 예산군 신양면 당진영덕고속도로 33 (예산휴게소 상행) 당진 방향,할리스
서울 중구,약수역점,영업중,"서울특별시 중구 다산로 114 (신당동,1~2층)",할리스
대구 달서구,대구성서점,영업중,"대구광역시 달서구 성서로 419, 국민연금대구사옥 1층 (이곡동 1198-5) 할리스",할리스
경기 화성시,동탄점,영업중,"경기도 화성시 동탄중심상가1길 5 (반송동, 동탄프라자) 1,2층",할리스
울산 남구,울산야음점,영업중,"울산 남구 수암로 138, 타임스퀘어 상가 야음동 789-14, 101호",할리스
서울 마포구,홍대역점,영업중,서울특별시 마포구 어울마당로 111 (동교동) 2층,할리스
서울 성북구,고대안암병원점,영업중,"서울특별시 성북구 고려대로 73 (안암동5가, 고려대병원) 고대안암병원 본관 3층",할리스
서울 서대문구,신촌연세로점,영업중,"서울특별시 서대문구 연세로 5, 1층 (창천동 30-7) 할리스",할리스
경기 용인시 처인구,용인명지대점,영업중,경기도 용인시 처인구 명지로116번길 24-2 (남동) 1~2층,할리스
서울 용산구,용산아이파크몰 영풍문고점,영업중,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 용산역 리빙관 3층(한강로 3가)",할리스
전북 전주시 덕진구,국민연금공단점,영업중,전북 전주시 덕진구 기지로 170 국민연금공단 국민누리관 1층,할리스
부산 금정구,부산금강식물원점,영업중,"부산광역시 금정구 금샘로 22 (장전동) 1,2층 금정구 장전동 521-68외1필지 1,2층",할리스
서울 영등포구,선유도역점TS카페,영업중,"서울특별시 영등포구 양평로 96 (양평동4가) TS빌딩 1,2층",할리스
서울 구로구,구로역점,영업중,서울특별시 구로구 새말로 18-29 (구로동) .,할리스
서울 마포구,공덕역북카페점,영업중,"서울특별시 마포구 마포대로 100 (공덕동, 공덕역) 북카페 지하1층",할리스
전북 부안군,부안격포채석강점,영업중,전라북도 부안군 변산면 채석강길 22-10 .,할리스
대구 북구,대구관음점,영업중,"대구광역시 북구 구암로 59 비전스퀘어 1,2층 .",할리스
대전 서구,대전가장점,영업중,"대전광역시 서구 도솔로 314 1층, 2층(괴정동, SL 빌딩)",할리스
대전 유성구,대전신성점,영업중,대전광역시 유성구 유성대로1184번길 18 (신성동) .,할리스
서울 성동구,왕십리역점,영업중,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사) 비트플렉스몰 3층 영풍문고 내",할리스
충남 천안시 서북구,천안쌍용점,영업중,"충청남도 천안시 서북구 미라13길 16 (쌍용동) 쌍용동 955, 성건오피스텔 1층",할리스
서울 영등포구,전경련회관점,영업중,"서울특별시 영등포구 여의대로 24 (여의도동, 전국경제인연합회회관) 지하 1층 B109~111호",할리스
부산 중구,부산중앙역점,영업중,부산광역시 중구 대청로 148 (중앙동2가) .,할리스
경남 양산시,양산부산대병원치과동점,영업중,"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원 치과병동 1층(범어리 2762-1) 할리스",할리스
경남 양산시,양산부산대병원본점,영업중,"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원 중앙진료동 1층(범어리 2762-1) 할리스",할리스
경기 하남시,하남덕풍점,영업중,경기도 하남시 덕풍북로 2 (덕풍동) 1층,할리스
부산 사상구,부산백양대로점,영업중,"부산광역시 사상구 백양대로 621, 2~4층(괘법동 141) 할리스",할리스
인천 남동구,간석오거리점,영업중,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,할리스
서울 성동구,한양대병원점,영업중,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 본관 1층 (사근동 110, 한양대학부속병원) 할리스",할리스
서울 서초구,서초마제스타시티점,영업중,"서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티,힐스테이트서리풀) 1층",할리스
경기 시흥시,월곶점,영업중,경기도 시흥시 월곶중앙로 63 (월곶동) .,할리스
대전 서구,대전만년점,영업중,"대전광역시 서구 둔산대로117번길 95 (만년동, 리더스타운) 만년동 309",할리스
경북 구미시,(하)선산휴게소점,영업중,경상북도 구미시 옥성면 중부내륙고속도로 129 .,할리스
경기 수원시,화성융건릉점,영업중,"경기도 화성시 효행로 501-3 1,2층",할리스
대전 서구,대전탄방점,영업중,"대전광역시 서구 계룡로571번길 23-19 (탄방동) 1층 102호,103호,104호 / 탄방동 688",할리스
전북 전주시 완산구,서전주DT점,영업중,전라북도 전주시 완산구 유연로 5 (효자동3가 1045-50),할리스
경기 김포시,김포한강생태공원점,영업중,"경기도 김포시 김포한강11로 452,1~2층 운양동 1264-4",할리스
부산 동래구,부산명륜역점,영업중,부산광역시 동래구 온천장로 5 (온천동) 1층,할리스
경남 진주시,진주평거점,영업중,"경상남도 진주시 진양호로 46 (평거동) 1층,2층 (에스원빌딩)",할리스
경기 수원시 영통구,아주대병원점,영업중,"경기도 수원시 영통구 월드컵로 164 (원천동, 아주대학병원) 아주대학교병원 본관 1층",할리스
대구 수성구,대구수성못점,영업중,대구광역시 수성구 용학로 115 두산동 690,할리스
울산 남구,울산시청점,영업중,울산광역시 남구 삼산로 60 (신정동) 1층,할리스
대구 동구,동대구역사점,영업중,대구광역시 동구 동대구로 550 (동대구역 내 1층),할리스
서울 종로구,종로5가점,영업중,서울특별시 종로구 동호로 401(종로5가) .,할리스
부산 북구,부산덕천점,영업중,"부산광역시 북구 덕천1길 21, 1~2층 (덕천동 400-14) 할리스",할리스
인천 부평구,부평로데오점,영업중,"인천광역시 부평구 시장로 17-1 (부평동, 인일 빌딩) 1,2,3층",할리스
충북 청주시 흥덕구,충북오송점,영업중,충청북도 청주시 흥덕구 오송읍 만수1길 3 .,할리스
서울 영등포구,여의도파이낸스타워점,영업중,"서울특별시 영등포구 국제금융로2길 32, 여의도파이낸스타워 1층(여의도동 23-8)",할리스
경기 김포시,김포농협본점,영업중,경기도 김포시 홍도평로 20 (걸포동) 김포농협하나로마트본점 2층,할리스
경기 남양주시,다산지금점,영업중,경기도 남양주시 다산중앙로82번안길 143-15 101호,할리스
서울 종로구,서울대병원점,영업중,"서울특별시 종로구 대학로 101 (연건동, 서울대학교의과대학)",할리스
서울 영등포구,구로디지털뉴스테이점,영업중,서울시 영등포구 시흥대로 595 105호,할리스
경북 경주시,경주보불로점,영업중,경북 경주시 보불로 305 .,할리스
울산 북구,울산명촌점,영업중,울산광역시 북구 명촌로 59 .,할리스
전북 김제시,전북김제점,영업중,전북 김제시 검산택지 5길 21-10 1층,할리스
대구 북구,대구침산네거리점,영업중,대구광역시 북구 침산남로 157 (침산동) .,할리스
대구 동구,대구반야월점,영업중,대구광역시 동구 안심로 255 .,할리스
서울 종로구,센터포인트점,영업중,"서울특별시 종로구 새문안로5길 31, 센터포인트광화문빌딩 1층 (도렴동 65, 센터포인트 광화문) 할리스",할리스
서울 마포구,홍대입구역점,영업중,"서울특별시 마포구 양화로 151, 1층 (동교동 160-1) 할리스",할리스
경기 고양시 일산동구,마두역점,영업중,"경기도 고양시 일산동구 중앙로 1165, 1층일부 1층",할리스
전북 군산시,군산미장점,영업중,전라북도 군산시 미장안길 54 통큰타운3동 105호,할리스
서울 서초구,백석예술대학교점,영업중,"서울특별시 서초구 방배로9길 23 (방배동, 백석예술대학교) 방배동 981-17",할리스
대전 중구,대전오류점,영업중,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 오류동 151-3",할리스
서울 강남구,카페테리아&삼성점,영업중,"서울시 강남구 삼성로 512, 10층 인터파크 카페테리아 (삼성동) .",할리스
서울 강남구,역삼테헤란점,영업중,"서울특별시 강남구 테헤란로 131, 한국지식재산센터 1층 (역삼동 647-9) 할리스",할리스
대구 달성군,대구현풍테크노점,영업중,대구시 달성군 유가읍 테크노공원로 65 .,할리스
전남 장흥군,전남장흥점,영업중,전라남도 장흥군 장흥읍 북부로 18 .,할리스
경기 화성시,화성병점점,영업중,"경기도 화성시 병점동로 105 1,2층(진안동)",할리스
경기 구리시,구리수택점,영업중,경기도 구리시 검배로 73 (수택동) 할리스,할리스
서울 관악구,난곡사거리점,영업중,서울 관악구 남부순환로 1489 신림동 526-13,할리스
서울 양천구,신정네거리역점,영업중,서울특별시 양천구 중앙로 252 2층 .,할리스
경북 구미시,구미CGV점,영업중,"경상북도 구미시 구미중앙로 44 (원평동, 멀티복합상가) 원평동 68-1, 1층",할리스
경기 부천시 원미구,역곡역점,영업중,경기 부천시 부일로726번길 5 (역곡동 80) 역곡역 2번출구 사거리에서 가톨릭대학교방향 좌회전 후 약 50M,할리스
경기 오산시,오산대역DT점,영업중,경기도 오산시 경기대로 491 (수청동) 1층~3층 할리스,할리스
서울 중구,을지로입구점,영업중,서울특별시 중구 명동3길 23 (을지로2가) 1~4층 할리스,할리스
경북 구미시,구미금오산점,영업중,경상북도 구미시 금오산로 209 (남통동) 할리스커피 구미금오산점,할리스
경기 화성시,(하)매송휴게소점,영업중,경기 화성시 매송면 서해안고속도로 315 목포방향 서해안고속도로 315 목포방향,할리스
경기 화성시,(상)매송휴게소점,영업중,경기 화성시 매송면 서해안고속도로 316 서울방향 .,할리스
경남 창원시 의창구,창원팔용점,영업중,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) .,할리스
전북 전주시 완산구,전주남천교점,영업중,전라북도 전주시 완산구 전주천서로 81 동서학동 66,할리스
부산 연제구,부산연산점,영업중,부산광역시 연제구 반송로 89 (연산동) 1층,할리스
대구 북구,대구침산점,영업중,"대구 북구 성북로 36,2층 601,602,603,604 473-3, 침산초등학교 맞은편",할리스
대구 동구,대구안심점,영업중,대구시 동구 안심로 90길29 .,할리스
강원 홍천군,(하)홍천휴게소점,영업중,강원도 홍천군 화촌면 서울양양고속도로 84 .,할리스
경기 화성시,동탄카림애비뉴점,영업중,경기도 화성시 동탄대로시범길 134 0001호 .,할리스
대구 중구,대구동성로점,영업중,"대구광역시 중구 동성로6길 32, B1~2층 (공평동 52-2) 할리스",할리스
서울 은평구,응암역점,영업중,서울특별시 은평구 증산로 475 .,할리스
경남 창원시 성산구,상남중앙점,영업중,경상남도 창원시 성산구 마디미로38번길 11 (상남동 25) 할리스,할리스
인천 남구,인천주안역점,영업중,"인천광역시 미추홀구 주안로 105 1,2층 주안동 130-10 /남구->미추홀구 변경",할리스
울산 남구,울산삼산대로점,영업중,울산광역시 남구 정동로 71 (삼산동) 삼산동,할리스
경기 구리시,구리장자호수공원점,영업중,"경기도 구리시 장자대로 86번길 18 1,2층 (참참존빌딩)",할리스
서울 서대문구,이대점,영업중,"서울특별시 서대문구 이화여대길 59 (대현동, 메르체쇼핑몰) 엘큐브 3층",할리스
대구 동구,동대구환승센터점,영업중,"대구광역시 동구 동부로 149 (신천동, 신세계동대구복합환승센터) 3층",할리스
경기 수원시,수원경인일보점,영업중,경기도 수원시 팔달구 효원로 299 .,할리스
부산 수영구,부산광안해변점,영업중,부산광역시 수영구 광안해변로 251 (민락동) 178-5,할리스
경기 파주시,파주야당역점,영업중,"경기도 파주시 경의로 1042 (야당동) 1,2층",할리스
서울 양천구,목동예술인회관점,영업중,"서울시 양천구 목동서로 225, 예술인회관 1층 1층",할리스
경기 고양시 덕양구,원당점,영업중,"경기도 고양시 덕양구 호국로 797, 대동피렌체 104~106호 1층",할리스
충북 괴산군,(하)괴산휴게소점,영업중,충북 괴산군 장연면 중부내륙고속도로 205 괴산(마산방향)휴게소 할리스커피,할리스
전남 보성군,(상)보성녹차휴게소점,영업중,전라남도 보성군 미력면 남해고속도로 63 (보성녹차(목포)주유소) 목포방향,할리스
전남 보성군,(하)보성녹차휴게소점,영업중,전남 보성군 겸백면 남해고속도로 70 .,할리스
서울 강남구,선릉샹제리제점,영업중,"서울특별시 강남구 테헤란로 406 (대치동, 샹제리제센터) 1층",할리스
경기 양주시,양주고읍점,영업중,"경기도 양주시 고읍남로 10 (광사동) 1,2층",할리스
인천 연수구,인천연수CGV점,영업중,인천 연수구 청능대로 210 (스쿼어원 4층) 동춘동 926,할리스
경북 김천시,(상)추풍령휴게소점,영업중,경북 김천시 봉산면 경부고속도로 214-1 광천리 737-1 (서울방향),할리스
울산 북구,울산풍차DT점,영업중,울산광역시 북구 산업로 1440 신천동 456,할리스
서울 서초구,(하)만남의광장점,영업중,"서울특별시 서초구 양재대로12길 73-71 (원지동, 만남의광장) 할리스커피",할리스
경기 시흥시,시흥하늘휴게소점,영업중,경기도 시흥시 수도권제1순환고속도로 105-1 (조남동) 조남동 15-10,할리스
대전 서구,대전타임월드점,영업중,대전광역시 서구 둔산로 32-13 (둔산동) .,할리스
전남 무안군,남악신도시점,영업중,"전라남도 무안군 삼향읍 남악로 234 트리폴리앙 B동 1, 108호 .",할리스
부산 기장군,(상)장안휴게소점,영업중,부산광역시 기장군 장안읍 동해고속도로 26 .,할리스
부산 기장군,(하)장안휴게소점,영업중,부산광역시 기장군 장안읍 동해고속도로 25 (장안휴게소하행) .,할리스
서울 중구,충무로역점,영업중,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",할리스
경기 이천시,(상)마장휴게소점,영업중,경기도 이천시 마장면 중부고속도로 82 마장휴게소 상행 하남방향,할리스
세종 세종시,세종소담DI점,영업중,세종특별자치시 소담로 40 소담동 570,할리스
부산 중구,부산BIFF광장점,영업중,"부산 중구 비프광장로 31-1, 1층 .",할리스
부산 동구,부산역사점,영업중,"부산광역시 동구 중앙대로 206 (초량동, 한국철도공사부산지역본부) 2충 초량동 1187-1",할리스
광주 북구,광주일곡점,영업중,광주광역시 북구 송해로 81 일곡동 821-5 1~3층,할리스
경기 양주시,양주점,영업중,경기도 양주시 평화로 1407 (덕계동) .,할리스
충남 당진시,당진푸르지오점,영업중,충청남도 당진시 읍내동 1590 1층 희은빌라 .,할리스
대전 유성구,대전전민점,영업중,대전광역시 유성구 전민로22번길 62 전민동 306-1,할리스
강원 홍천군,홍천점,영업중,강원도 홍천군 홍천읍 꽃뫼로 98 .,할리스
전남 목포시,목포하당점,영업중,전라남도 목포시 비파로51번길 37 (상동) .,할리스
경북 김천시,김천혁신도시점,영업중,경상북도 김천시 혁신로 246 .,할리스
대구 서구,대구팔달교DT점,영업중,대구광역시 서구 팔달로 34 .,할리스
